"journal-article-10.2307_40004532-ngram1.txt","Platform for Action"
"journal-article-10.2307_3346494-ngram1.txt","Selected Abstracts from the Second National Conference of the National Women's Studies Association, May 16-20, 1980, Bloomington, Indiana"
"journal-article-10.2307_3346301-ngram1.txt","Selected Abstracts from the First National Conference of the National Women's Studies Association, May 30-June 3, 1979, Lawrence, Kansas"
"journal-article-10.2307_42624775-ngram1.txt","El traje nuevo de la emperatriz: lecciones de la integración de la perspectiva de género en México"
"journal-article-10.2307_42625563-ngram1.txt","Carefair: el cuidado equitativo. Entre la capacidad de elegir, el deber y la distribución de responsabilidades"
"journal-article-10.2307_44735238-ngram1.txt","Ética feminista"
"journal-article-10.2307_40005460-ngram1.txt","Women's Studies Programs-1997"
"journal-article-10.2307_40620030-ngram1.txt","Égalité, équivalence et équité: la position de l'État français au regard du droit international"
"journal-article-10.2307_43596589-ngram1.txt","Derechos de propiedad, herencia de las esposas e igualdad de género: aspectos comparativos entre Brasil e Hispanoamérica"
"journal-article-10.2307_3173860-ngram1.txt","For and about Women: The Theory and Practice of Women's Studies in the United States"
"journal-article-10.2307_42625546-ngram1.txt","Las capacidades de las mujeres y la justicia social"
"journal-article-10.2307_44735282-ngram1.txt","¿Las políticas carcelarias representan la justicia de género? La trata de mujeres y los circuitos neoliberales del crimen, el sexo y los derechos"
"journal-article-10.2307_40003986-ngram1.txt","Women's Studies Programs: 1989"
"journal-article-10.2307_25164248-ngram1.txt","Women's Studies Programs-1985"
"journal-article-10.2307_40003449-ngram1.txt","Women's Studies Programs-1987-88"
"journal-article-10.2307_4149431-ngram1.txt","Promising and Contested Fields: Women's Studies and Sociology of Women/Gender in Contemporary China"
"journal-article-10.2307_3174884-ngram1.txt","Organizing Women before and after the Fall: Women's Politics in the Soviet Union and Post-Soviet Russia"
"journal-article-10.2307_3173989-ngram1.txt","Educating Women in America"
"journal-article-10.2307_40003828-ngram1.txt","National Council for Research on Women"
"journal-article-10.2307_40835345-ngram1.txt","Is It Time to Jump Ship? Historians Rethink the Waves Metaphor"
"journal-article-10.2307_190404-ngram1.txt","Defining and Redefining Work: Implications for Women's Health"
"journal-article-10.2307_3177649-ngram1.txt","Politics and Culture in Women's History: A Symposium"
"journal-article-10.2307_4066077-ngram1.txt","Case Report: [Health, Mainstreaming Gender Equality in Health Policy]"
"journal-article-10.2307_23022218-ngram1.txt","De la calle a la autopista de la información: \"Precarias a la deriva\" y sus sitios de resistencia"
"journal-article-10.2307_40003389-ngram1.txt","Centers for Research and Teaching on Women: An International List-in-Progress"
"journal-article-10.2307_40338580-ngram1.txt","\"We Shall Have Our Manhood:\" Black Macho, Black Nationalism, and the Million Man March"
"journal-article-10.2307_42772108-ngram1.txt","Japan's Entry into War and the Support of Women"
"journal-article-10.2307_4317086-ngram1.txt","Prospects for Renewed Feminist Activism in the Heartland: A Study of Daytonian Women's Politics"
"journal-article-10.2307_40004798-ngram1.txt","Women's Studies Programs and Centers for Research on Women: 1981"
"journal-article-10.2307_3175383-ngram1.txt","Reviving Feminist Materialism: Gender and Neoliberalism in Pinochet's Chile"
"journal-article-10.2307_3177771-ngram1.txt","When Patriarchy Kowtows: The Significance of the Chinese Family Revolution for Feminist Theory"
